sample,Gene,Z-score,group,replicate
P_2,Aagab,0.8258125273290465,Posterior,2
P_3,Aagab,0.8059584200009158,Posterior,3
S_1,Aagab,-0.7977449114297259,Somite,1
S_2,Aagab,-0.3897095589685068,Somite,2
S_3,Aagab,-2.124881713742504,Somite,3
A_1,Aak1,0.5075128814399608,Anterior,1
A_2,Aak1,-0.2001226161190233,Anterior,2
A_3,Aak1,-1.9665852469717324,Anterior,3
P_1,Aak1,1.0389267905517383,Posterior,1
P_2,Aak1,1.443894086089236,Posterior,2
P_3,Aak1,0.8296413745813422,Posterior,3
S_1,Aak1,-0.5160206250119022,Somite,1
S_2,Aak1,-0.755007349194369,Somite,2
S_3,Aak1,-0.3822392953652337,Somite,3
A_1,Aamdc,0.7917452450286568,Anterior,1
A_2,Aamdc,0.5996241929815999,Anterior,2
A_3,Aamdc,-0.7385327106654634,Anterior,3
P_1,Aamdc,-2.166410169511432,Posterior,1
P_2,Aamdc,1.3856188286641689,Posterior,2
P_3,Aamdc,0.7256854585462199,Posterior,3
S_1,Aamdc,-0.1513438014740681,Somite,1
S_2,Aamdc,0.097533886778969,Somite,2
S_3,Aamdc,-0.5439209303486233,Somite,3
A_1,Aamp,0.8932383289025969,Anterior,1
A_2,Aamp,-0.4493244017608901,Anterior,2
A_3,Aamp,-0.4541534074416741,Anterior,3
P_1,Aamp,2.095917297515693,Posterior,1
P_2,Aamp,0.5809271563368859,Posterior,2
P_3,Aamp,0.2870660674072934,Posterior,3
S_1,Aamp,-1.144137226348711,Somite,1
S_2,Aamp,-1.036995195487706,Somite,2
S_3,Aamp,-0.7725386191235277,Somite,3
A_1,Aar2,0.5069120520204394,Anterior,1
A_2,Aar2,-0.23897490788981,Anterior,2
A_3,Aar2,-1.8194773882739728,Anterior,3
P_1,Aar2,-1.4930235464163275,Posterior,1
P_2,Aar2,0.341729460341988,Posterior,2
P_3,Aar2,0.8789616627278508,Posterior,3
S_1,Aar2,-0.2665364896459756,Somite,1
S_2,Aar2,1.067724983527518,Somite,2
S_3,Aar2,1.0226841736083758,Somite,3
A_1,Aars1,0.0741737787453881,Anterior,1
A_2,Aars1,0.1519011771337425,Anterior,2
A_3,Aars1,-1.5137184749508523,Anterior,3
P_1,Aars1,1.1361508879115074,Posterior,1
P_2,Aars1,1.8235255376329265,Posterior,2
P_3,Aars1,0.5588577917352227,Posterior,3
S_1,Aars1,-0.69119924789367,Somite,1
S_2,Aars1,-0.5593782427934372,Somite,2
S_3,Aars1,-0.9803132075210969,Somite,3
A_1,Aars2,-0.7043778498317242,Anterior,1
A_2,Aars2,0.3170722789407117,Anterior,2
A_3,Aars2,-0.7473813193108377,Anterior,3
P_1,Aars2,-1.8222870204285253,Posterior,1
P_2,Aars2,0.3572075447559013,Posterior,2
P_3,Aars2,0.0790011545953924,Posterior,3
S_1,Aars2,-0.3868921936421939,Somite,1
S_2,Aars2,1.3724394551337955,Somite,2
S_3,Aars2,1.5352179497874354,Somite,3
A_1,Aarsd1,0.8496535692590043,Anterior,1
A_2,Aarsd1,0.0100028447607869,Anterior,2
A_3,Aarsd1,-0.111887478014539,Anterior,3
P_1,Aarsd1,-2.5448869866232324,Posterior,1
P_2,Aarsd1,0.1216917890435874,Posterior,2
P_3,Aarsd1,-0.0210965248599769,Posterior,3
S_1,Aarsd1,0.001076532350507,Somite,1
S_2,Aarsd1,1.2579036110207773,Somite,2
S_3,Aarsd1,0.4375426430630351,Somite,3
A_1,Aasdhppt,0.1318501940202499,Anterior,1
A_2,Aasdhppt,0.5262129792408003,Anterior,2
A_3,Aasdhppt,0.8275459293127864,Anterior,3
P_1,Aasdhppt,-2.5450704679819216,Posterior,1
